"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR23508","1. Seizure","Poland","2006-03-08 00:00:00","1 pair of boots made from crocodile seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23514","1. Seizure","Poland","2006-03-15 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR2352","1. Seizure","China","2010-10-19 00:00:00","2.92 kg of rhino horn seized in Tianjin","CITES Biennial Report China 2009-2010","CITES Management Authority","","Environmental Investigation Agency (EIA)","Air","In Postal Parcel (at postal depot or sorting office)","","","Routine Inspection","Confiscation","","","","","","","","",""
"MOR23522","1. Seizure","Poland","2006-03-23 00:00:00","12 Queen conch shells seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23524","1. Seizure","Poland","2006-03-24 00:00:00","5 Queen conch shell seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23528","1. Seizure","Poland","2006-03-29 00:00:00","2 Queen conch shells seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23529","1. Seizure","Poland","2006-04-05 00:00:00","2 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23536","1. Seizure","Poland","2006-04-09 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23537","1. Seizure","Poland","2006-04-10 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23546","1. Seizure","Poland","2006-04-27 00:00:00","3 Queen conch shells and 1 piece of coral seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23547","1. Seizure","Poland","2006-04-27 00:00:00","1 American alligator head seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23554","1. Seizure","Poland","2006-05-04 00:00:00","1 head of an American alligator seized in Poznan","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23557","1. Seizure","Poland","2006-05-08 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23560","1. Seizure","Poland","2006-05-11 00:00:00","1 Queen conch shell seized in Poznan","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23561","1. Seizure","Poland","2006-05-13 00:00:00","1 piece of coral weighing 1 kg seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23571","1. Seizure","Poland","2006-05-24 00:00:00","7 pieces of coral weighing 0.3kg seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23574","1. Seizure","Poland","2006-06-09 00:00:00","2 Queen conch shells seized in Wroclaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23577","1. Seizure","Poland","2006-06-12 00:00:00","3 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23582","1. Seizure","Poland","2006-06-18 00:00:00","1 American alligator head seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23584","1. Seizure","Poland","2006-06-23 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23590","1. Seizure","Poland","2006-07-06 00:00:00","1 head of an American alligator seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23604","1. Seizure","Poland","2006-08-23 00:00:00","1 piece of coral weighing 0.3kg seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23605","1. Seizure","Poland","2006-08-23 00:00:00","9 pieces of coral weighing 0.5kg seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23606","1. Seizure","Poland","2006-08-27 00:00:00","1 piece of coral weighing 0.2kg seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23608","1. Seizure","Poland","2006-09-01 00:00:00","2 pieces of coral weighing 1.9kg seized in Katowice","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23781","1. Seizure","Poland","2006-10-02 00:00:00","7 pieces of coral weighing 0.5kg seized in Gdynia","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23803","1. Seizure","Poland","2006-11-23 00:00:00","3 live red-eared sliders seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23806","1. Seizure","Poland","2006-12-01 00:00:00","3 pieces of coral and 1 giant clam shell seized in Poznan","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23809","1. Seizure","Poland","2006-12-05 00:00:00","52 piano keys made from Ivory seized in Poznan","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23814","1. Seizure","Poland","2006-12-11 00:00:00","3 crocodile heads and 1 crocodile foot was seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23817","1. Seizure","Poland","2006-12-13 00:00:00","1 bear skin seized in Biała Podlaska","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23819","1. Seizure","Poland","2006-12-15 00:00:00","12 pieces of coral seized in Poznan","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23824","1. Seizure","Poland","2006-12-20 00:00:00","52 piano keys made from Ivory seized in Poznan","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23828","1. Seizure","Poland","2007-01-18 00:00:00","1 body of an American black bear seized in Katowice","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23829","1. Seizure","Poland","2007-01-11 00:00:00","8 pieces of coral weighing 1kg seized in Gdynia","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23848","1. Seizure","Poland","2007-02-18 00:00:00","0.5kg of coral seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23853","1. Seizure","Poland","2007-02-26 00:00:00","2kg of coral seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23871","1. Seizure","Poland","2007-04-11 00:00:00","3 pieces of coral weighing 0.5kg seized in Gdynia","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23872","1. Seizure","Poland","2007-04-14 00:00:00","1 handbag made from reticulated python seized in Gdynia","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23873","1. Seizure","Poland","2007-04-16 00:00:00","0.3kg of coral seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23877","1. Seizure","Poland","2007-04-19 00:00:00","15 pieces of coral weighing 0.26kg seized in Kielce","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23891","1. Seizure","Poland","2007-05-15 00:00:00","3 pieces of coral weighing 2.2kg seized in Gdynia","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23894","1. Seizure","Poland","2007-05-17 00:00:00","1 watch strap made from crocodile skin seized in Gdynia","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23912","1. Seizure","Poland","2007-06-21 00:00:00","2 bodies of butterflies seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23916","1. Seizure","Poland","2007-06-28 00:00:00","2.75kg of coral seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23926","1. Seizure","Poland","2007-07-07 00:00:00","1 live parrot seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23934","1. Seizure","Poland","2007-07-13 00:00:00","1 giant clam shell seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23938","1. Seizure","Poland","2007-07-26 00:00:00","1 piece of coral weighing 1kg seized in Katowice","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23969","1. Seizure","Poland","2007-09-12 00:00:00","1 head of an American alligator seized in Katowice","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23970","1. Seizure","Poland","2007-09-12 00:00:00","2 heads of American alligators seized in Przemyśl","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23972","1. Seizure","Poland","2007-09-12 00:00:00","1 pair of shoes made from monitor lizard seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23975","1. Seizure","Poland","2007-09-18 00:00:00","1 head of an American alligator seized in Katowice","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23980","1. Seizure","Poland","2007-09-25 00:00:00","1 Guenon skull seized in Warsaw","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23983","1. Seizure","Poland","2009-09-29 00:00:00","1 piece of coral seized in Katowice","Minsitry of Finance - Poland - CITES Trade Database Seizures","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
